Scan ID,Theta
186726,-90
186728,-89
186732,-87
186734,-86
186736,-85
186738,-84
186740,-83
186742,-82
186744,-81
186746,-80
186748,-79
186750,-78
186752,-77
186766,-76
186768,-75
186772,-74
187159,-71
187161,-70
187163,-69
187165,-68
187167,-67
187169,-66
187171,-65
187173,-64
187175,-63
187177,-62
187179,-61
187181,-60
187183,-59
187185,-58
187187,-57
187189,-56
187191,-55
187193,-54
186830,-53
186832,-52
187197,-50
187199,-49
187201,-48
187203,-47
186848,-45
186850,-44
186863,-41
186865,-40.00757576
186867,-39.01515152
186869,-38.02272727
186871,-37.03030303
186873,-36.03787879
186875,-35.04545455
186877,-34.0530303
186879,-33.06060606
186881,-32.06818182
186883,-31.07575758
186885,-30.08333333
186887,-29.09090909
186889,-28.09848485
186891,-27.10606061
186893,-26.11363636
186895,-25.12121212
186897,-24.12878788
186899,-23.13636364
186901,-22.14393939
186903,-21.15151515
186905,-20.15909091
186907,-19.16666667
186909,-18.17424242
186911,-17.18181818
186913,-16.18939394
186915,-15.1969697
186917,-14.20454545
186919,-13.21212121
186921,-12.21969697
186923,-11.22727273
186925,-10.23484848
186927,-9.242424242
186929,-8.25
186931,-7.257575758
186933,-6.265151515
186935,-5.272727273
186937,-4.28030303
186939,-3.287878788
186941,-2.295454545
186943,-1.303030303
186945,-0.310606061
186947,0.681818182
186949,1.674242424
186951,2.666666667
186953,3.659090909
186955,4.651515152
186957,5.643939394
186959,6.636363636
186961,7.628787879
186963,8.621212121
186965,9.613636364
186967,10.60606061
186969,11.59848485
186971,12.59090909
186973,13.58333333
186975,14.57575758
186977,15.56818182
186979,16.56060606
186983,18.54545455
186985,19.53787879
186987,20.53030303
186989,21.52272727
186991,22.51515152
186993,23.50757576
186995,24.5
186997,25.49242424
186999,26.48484848
187001,27.47727273
187003,28.46969697
187005,29.46212121
187007,30.45454545
187009,31.4469697
187011,32.43939394
187013,33.43181818
187015,34.42424242
187017,35.41666667
187019,37.40151515
187021,38.39393939
187023,39.38636364
187025,40.37878788
187027,41.37121212
187029,42.36363636
187069,51
187071,52
187073,53
187075,54
187077,55
187081,57
187087,60
187089,61
187091,62
187093,63
187095,64
187097,65
187099,66
187105,69
187107,70
187111,72
187113,73
187115,74
187117,75
187119,76
187121,77
187123,78
187125,79
187127,80
187131,82
187207,83
187209,84
187211,85
187213,86
187215,87
187217,88
187219,89
187221,90
